Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:58:15.162337,16:58:28.939006,1,-1.0
2,16:58:15.162337,16:58:29.185607,1,-1.0
2,16:58:15.162337,16:58:29.392735,1,-1.0
2,16:58:15.162337,16:58:29.624016,1,-1.0
2,16:58:15.162337,16:58:29.867717,1,-1.0
2,16:58:15.162337,16:58:30.070985,1,-1.0
2,16:58:15.162337,16:58:30.289732,1,-1.0
2,16:58:15.162337,16:58:30.524723,1,-1.0
2,16:58:15.162337,16:58:30.724423,1,-1.0
2,16:58:15.162337,16:58:30.950819,1,-1.0
2,16:58:15.162337,16:58:31.180473,1,-1.0
2,16:58:15.162337,16:58:31.414230,1,-1.0
2,16:58:15.162337,16:58:31.656227,1,-1.0
2,16:58:15.162337,16:58:31.970291,1,-1.0
2,16:58:15.162337,16:58:32.313071,1,-1.0
2,16:58:15.162337,16:58:32.567356,-1,-1.0
2,16:58:15.162337,16:58:32.773135,-1,-1.0
2,16:58:15.162337,16:58:32.958827,-1,-1.0
2,16:58:15.162337,16:58:33.210108,-1,-1.0
2,16:58:15.162337,16:58:33.453397,-1,-1.0
2,16:58:15.162337,16:58:33.795139,-1,-1.0
2,16:58:15.162337,16:58:33.989631,1,-1.0
2,16:58:15.162337,16:58:34.153341,1,-1.0
2,16:58:15.162337,16:58:34.391734,1,-1.0
2,16:58:15.162337,16:58:34.579455,1,-1.0
2,16:58:15.162337,16:58:34.795740,1,-1.0
2,16:58:15.162337,16:58:35.000672,1,-1.0
2,16:58:15.162337,16:58:35.217753,1,-1.0
2,16:58:15.162337,16:58:35.436607,1,-1.0
2,16:58:15.162337,16:58:35.647566,1,-1.0
2,16:58:15.162337,16:58:35.829622,1,-1.0
2,16:58:15.162337,16:58:36.016140,1,-1.0
2,16:58:15.162337,16:58:36.200140,1,-1.0
2,16:58:15.162337,16:58:36.377468,1,-1.0
2,16:58:15.162337,16:58:36.564072,1,-1.0
2,16:58:15.162337,16:58:36.717170,1,-1.0
2,16:58:15.162337,16:58:36.887042,1,-1.0
2,16:58:15.162337,16:58:37.107101,1,-1.0
2,16:58:15.162337,16:58:37.317804,1,-1.0
2,16:58:15.162337,16:58:37.499644,1,-1.0
2,16:58:15.162337,16:58:37.701799,1,-1.0
2,16:58:15.162337,16:58:37.890509,1,-1.0
2,16:58:15.162337,16:58:38.105922,1,-1.0
2,16:58:15.162337,16:58:38.291759,1,-1.0
2,16:58:15.162337,16:58:38.501314,1,-1.0
2,16:58:15.162337,16:58:38.691279,1,-1.0
2,16:58:15.162337,16:58:38.922816,1,-1.0
2,16:58:15.162337,16:58:39.089817,1,-1.0
2,16:58:15.162337,16:58:39.307667,1,-1.0
2,16:58:15.162337,16:58:39.516196,1,-1.0
2,16:58:15.162337,16:58:39.738775,1,-1.0
2,16:58:15.162337,16:58:39.923324,1,-1.0
2,16:58:15.162337,16:58:40.150851,1,-1.0
2,16:58:15.162337,16:58:40.354639,1,-1.0
2,16:58:15.162337,16:58:40.598656,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,16:58:40.602748,16:58:41.823211,1,-1.0
3,16:58:40.602748,16:58:42.046314,1,-1.0
3,16:58:40.602748,16:58:42.273731,1,-1.0
3,16:58:40.602748,16:58:42.465746,1,-1.0
3,16:58:40.602748,16:58:42.661507,1,-1.0
3,16:58:40.602748,16:58:42.862471,1,-1.0
3,16:58:40.602748,16:58:43.085110,1,-1.0
3,16:58:40.602748,16:58:43.288435,1,-1.0
3,16:58:40.602748,16:58:43.508951,1,-1.0
3,16:58:40.602748,16:58:43.743052,1,-1.0
3,16:58:40.602748,16:58:43.985257,1,-1.0
3,16:58:40.602748,16:58:44.229449,1,-1.0
3,16:58:40.602748,16:58:44.506698,1,-1.0
3,16:58:40.602748,16:58:44.731184,1,-1.0
3,16:58:40.602748,16:58:45.017681,1,-1.0
3,16:58:40.602748,16:58:45.266067,1,-1.0
3,16:58:40.602748,16:58:45.473637,1,-1.0
3,16:58:40.602748,16:58:45.702255,1,-1.0
3,16:58:40.602748,16:58:45.940034,1,-1.0
3,16:58:40.602748,16:58:46.160637,1,-1.0
3,16:58:40.602748,16:58:46.370452,1,-1.0
3,16:58:40.602748,16:58:46.596813,1,-1.0
3,16:58:40.602748,16:58:46.820461,1,-1.0
3,16:58:40.602748,16:58:47.005352,1,-1.0
3,16:58:40.602748,16:58:47.219929,1,-1.0
3,16:58:40.602748,16:58:47.435857,1,-1.0
3,16:58:40.602748,16:58:47.630982,1,-1.0
3,16:58:40.602748,16:58:47.869536,1,-1.0
3,16:58:40.602748,16:58:48.146507,1,-1.0
3,16:58:40.602748,16:58:48.390672,1,-1.0
3,16:58:40.602748,16:58:48.635092,1,-1.0
3,16:58:40.602748,16:58:48.882554,1,-1.0
3,16:58:40.602748,16:58:49.176710,1,-1.0
3,16:58:40.602748,16:58:49.481377,1,-1.0
3,16:58:40.602748,16:58:49.857263,1,-1.0
3,16:58:40.602748,16:58:50.156538,1,-1.0
3,16:58:40.602748,16:58:50.464729,1,-1.0
3,16:58:40.602748,16:58:50.756506,1,-1.0
3,16:58:40.602748,16:58:51.072402,1,-1.0
3,16:58:40.602748,16:58:51.326833,1,-1.0
3,16:58:40.602748,16:58:51.671924,1,-1.0
3,16:58:40.602748,16:58:51.969027,1,-1.0
3,16:58:40.602748,16:58:52.502174,1,-1.0
3,16:58:40.602748,16:58:52.729022,1,-1.0
3,16:58:40.602748,16:58:52.968832,1,-1.0
3,16:58:40.602748,16:58:53.485247,-1,-1.0
3,16:58:40.602748,16:58:53.682001,-1,-1.0
3,16:58:40.602748,16:58:53.889497,-1,-1.0
3,16:58:40.602748,16:58:54.130133,1,-1.0
3,16:58:40.602748,16:58:54.483970,-1,-1.0
3,16:58:40.602748,16:58:54.756293,1,-1.0
3,16:58:40.602748,16:58:54.969646,1,-1.0
3,16:58:40.602748,16:58:55.145002,1,-1.0
3,16:58:40.602748,16:58:55.301347,1,-1.0
3,16:58:40.602748,16:58:55.486231,1,-1.0
3,16:58:40.602748,16:58:55.654942,1,-1.0
3,16:58:40.602748,16:58:55.835782,1,-1.0
3,16:58:40.602748,16:58:56.004710,1,-1.0
3,16:58:40.602748,16:58:56.207903,1,-1.0
3,16:58:40.602748,16:58:56.406254,1,-1.0
3,16:58:40.602748,16:58:56.581175,1,-1.0
